iter	MultiClass
0	2.365689569
1	2.322121827
2	2.297815366
3	2.279800382
4	2.261052249
5	2.245434878
6	2.230787581
7	2.218519536
8	2.208948617
9	2.193930013
10	2.186162219
11	2.180524915
12	2.175413327
13	2.163633699
14	2.155780156
15	2.149410597
16	2.142636849
17	2.134538259
18	2.125044635
19	2.116401082
20	2.10944923
21	2.103741516
22	2.097880341
23	2.091716584
24	2.083831503
25	2.079903406
26	2.075901276
27	2.073034782
28	2.068820708
29	2.063972858
30	2.056815223
31	2.053000082
32	2.047373805
33	2.041449198
34	2.036077656
35	2.030101304
36	2.025899509
37	2.022885222
38	2.017566442
39	2.015612624
40	2.012400038
41	2.00693998
42	2.003107218
43	1.998437676
44	1.992802654
45	1.98668901
46	1.982852291
47	1.978780809
48	1.974898525
49	1.971644555
50	1.96951587
51	1.965827613
52	1.962545603
53	1.958922537
54	1.955409394
55	1.952178274
56	1.949773506
57	1.947282237
58	1.943514723
59	1.941247151
60	1.9372776
61	1.9337286
62	1.93076496
63	1.925318545
64	1.92290093
65	1.920429012
66	1.917263825
67	1.914884799
68	1.913239302
69	1.911176616
70	1.909048601
71	1.907318049
72	1.904134019
73	1.900665445
74	1.898493002
75	1.896471323
76	1.893799049
77	1.891359051
78	1.889216813
79	1.887110757
80	1.885649486
81	1.883002956
82	1.87996505
83	1.8759894
84	1.873630069
85	1.871385832
86	1.869117674
87	1.868507903
88	1.865820554
89	1.863928925
90	1.862745659
91	1.859541224
92	1.857323907
93	1.854103148
94	1.851900556
95	1.849852495
96	1.846605842
97	1.844759818
98	1.842631279
99	1.840015309
100	1.838739876
101	1.836217731
102	1.834849864
103	1.832000886
104	1.830671942
105	1.828916578
106	1.827236428
107	1.824751956
108	1.822688029
109	1.8210358
110	1.81941683
111	1.817821163
112	1.815602513
113	1.814063336
114	1.811685115
115	1.80984638
116	1.807442209
117	1.806710424
118	1.805693007
119	1.804158762
120	1.801271329
121	1.799062722
122	1.796421283
123	1.795452686
124	1.792955067
125	1.790947501
126	1.789187157
127	1.787665936
128	1.785963929
129	1.784474848
130	1.782298717
131	1.781354678
132	1.779783025
133	1.778029377
134	1.776499009
135	1.774262847
136	1.771965589
137	1.770114654
138	1.768963011
139	1.767190419
140	1.76532936
141	1.763446481
142	1.762107004
143	1.760279227
144	1.759312407
145	1.758005105
146	1.756697258
147	1.755031842
148	1.753480274
149	1.751904676
150	1.750885386
151	1.749813695
152	1.748677686
153	1.747174108
154	1.746766522
155	1.744584999
156	1.742268202
157	1.741115528
158	1.739635583
159	1.737977163
160	1.736588812
161	1.734970777
162	1.733870793
163	1.732519568
164	1.731067552
165	1.729345849
166	1.727831692
167	1.725888736
168	1.723813613
169	1.722117431
170	1.720948327
171	1.719510159
172	1.718441289
173	1.717041636
174	1.716071546
175	1.714511315
176	1.713332175
177	1.711991253
178	1.710489245
179	1.707607768
180	1.705915486
181	1.704683611
182	1.703365014
183	1.702110906
184	1.70107101
185	1.699690068
186	1.698402055
187	1.696566909
188	1.694852252
189	1.69341791
190	1.692256181
191	1.690938873
192	1.690065359
193	1.688643524
194	1.686657614
195	1.685458266
196	1.683828353
197	1.682583171
198	1.681339066
199	1.680009316
