iter	Passed	Remaining
0	117	23356
1	224	22185
2	328	21561
3	431	21143
4	536	20936
5	646	20908
6	750	20682
7	850	20410
8	953	20240
9	1058	20112
10	1163	19989
11	1269	19896
12	1376	19805
13	1488	19777
14	1603	19782
15	1711	19684
16	1814	19537
17	1919	19408
18	2021	19260
19	2126	19139
20	2229	19001
21	2333	18877
22	2437	18754
23	2551	18713
24	2662	18634
25	2767	18523
26	2874	18420
27	2978	18298
28	3083	18182
29	3187	18062
30	3291	17944
31	3395	17823
32	3499	17707
33	3607	17612
34	3713	17506
35	3815	17381
36	3919	17268
37	4023	17154
38	4129	17048
39	4245	16980
40	4350	16872
41	4463	16793
42	4576	16709
43	4685	16611
44	4794	16512
45	4902	16414
46	5006	16297
47	5112	16189
48	5217	16078
49	5323	15971
50	5428	15858
51	5536	15756
52	5646	15661
53	5750	15548
54	5857	15441
55	5964	15337
56	6068	15224
57	6173	15114
58	6276	15000
59	6382	14891
60	6498	14807
61	6612	14717
62	6719	14613
63	6824	14501
64	6926	14385
65	7032	14278
66	7135	14165
67	7237	14049
68	7340	13937
69	7448	13832
70	7561	13738
71	7671	13637
72	7782	13540
73	7886	13428
74	7988	13314
75	8091	13201
76	8191	13085
77	8298	12979
78	8406	12875
79	8525	12787
80	8640	12694
81	8752	12595
82	8856	12484
83	8962	12377
84	9070	12271
85	9175	12163
86	9277	12050
87	9382	11940
88	9490	11835
89	9601	11735
90	9707	11628
91	9811	11517
92	9917	11410
93	10023	11303
94	10127	11193
95	10230	11083
96	10336	10976
97	10445	10871
98	10557	10770
99	10668	10668
100	10776	10563
101	10882	10456
102	10992	10351
103	11098	10244
104	11202	10135
105	11306	10026
106	11409	9916
107	11515	9809
108	11626	9706
109	11734	9600
110	11842	9495
111	11945	9385
112	12052	9279
113	12158	9172
114	12263	9064
115	12372	8959
116	12487	8858
117	12602	8757
118	12709	8650
119	12812	8541
120	12922	8436
121	13032	8331
122	13139	8225
123	13243	8116
124	13347	8008
125	13456	7903
126	13572	7801
127	13683	7696
128	13791	7590
129	13899	7484
130	14005	7376
131	14106	7267
132	14213	7160
133	14319	7052
134	14435	6950
135	14546	6845
136	14655	6739
137	14762	6632
138	14866	6524
139	14970	6415
140	15074	6307
141	15178	6199
142	15280	6090
143	15387	5983
144	15502	5880
145	15614	5775
146	15723	5668
147	15827	5561
148	15931	5453
149	16035	5345
150	16141	5237
151	16247	5130
152	16362	5026
153	16473	4920
154	16580	4813
155	16691	4707
156	16797	4600
157	16901	4492
158	17004	4384
159	17107	4276
160	17211	4169
161	17315	4061
162	17420	3954
163	17532	3848
164	17643	3742
165	17750	3635
166	17853	3527
167	17955	3420
168	18058	3312
169	18162	3205
170	18267	3098
171	18378	2991
172	18491	2885
173	18601	2779
174	18705	2672
175	18809	2564
176	18911	2457
177	19013	2349
178	19117	2242
179	19219	2135
180	19323	2028
181	19430	1921
182	19541	1815
183	19650	1708
184	19757	1601
185	19865	1495
186	19968	1388
187	20072	1281
188	20193	1175
189	20298	1068
190	20401	961
191	20510	854
192	20620	747
193	20727	641
194	20832	534
195	20936	427
196	21042	320
197	21146	213
198	21250	106
199	21353	0
