dataset,mecanismo,percentual,estrategia,semente,imp_mae,imp_rmse,imp_acc,LogReg_acc,LogReg_macro_f1,LogReg_weighted_f1,RF_Class_acc,RF_Class_macro_f1,RF_Class_weighted_f1,CatBoost_Class_acc,CatBoost_Class_macro_f1,CatBoost_Class_weighted_f1,Ridge_mae,Ridge_rmse,Ridge_r2,RF_Reg_mae,RF_Reg_rmse,RF_Reg_r2,CatBoost_Reg_mae,CatBoost_Reg_rmse,CatBoost_Reg_r2
adult,N/A,0.0,baseline_original,42,,,,0.8244446719213839,0.7204693731506504,0.8087558848124734,0.8415395639267069,0.7712577197281862,0.8369190031631477,0.8659023441498618,0.8022301919104553,0.8603426613636679,,,,,,,,,
adult,N/A,0.0,baseline_original,123,,,,0.8297676323062749,0.7270949294092957,0.8142604900963674,0.8486027228989661,0.7800432793307133,0.8439893536672922,0.8692803767018119,0.8058433390055033,0.8636342076948159,,,,,,,,,
adult,N/A,0.0,baseline_original,999,,,,0.8197358992732112,0.7164487479055941,0.8045126064410437,0.8456341488381616,0.7796784821133944,0.8417101260096347,0.8621148531067663,0.7976470557479862,0.8564210160894058,,,,,,,,,
bank_marketing,N/A,0.0,baseline_original,42,,,,0.8858785801172178,0.6179251864443418,0.8606860782956032,0.898595598805706,0.7243184775245299,0.8906210267748984,0.9033506579674887,0.7386192147261468,0.8960537365368232,,,,,,,,,
bank_marketing,N/A,0.0,baseline_original,123,,,,0.8878690699988941,0.6110324469861299,0.862467885556774,0.9000331748313612,0.7205825372801711,0.8921588402458391,0.9086586309852925,0.7503624156157149,0.902679382189219,,,,,,,,,
bank_marketing,N/A,0.0,baseline_original,999,,,,0.8898595598805706,0.6218491163015658,0.8650757227231268,0.9020236647130377,0.7277632305723454,0.8941717087310244,0.902134247484242,0.7321443005013047,0.8951732488223921,,,,,,,,,
air_quality_uci,N/A,0.0,baseline_original,42,,,,,,,,,,,,,0.4753311067686705,0.6534892902893527,0.9928225739843576,0.07327710843373522,0.23619419720895085,0.9990623727451878,,,
air_quality_uci,N/A,0.0,baseline_original,123,,,,,,,,,,,,,0.4182207727991094,0.5173026472555111,0.9953452987976907,0.046957831325300854,0.11560477436257571,0.9997675369419222,,,
air_quality_uci,N/A,0.0,baseline_original,999,,,,,,,,,,,,,0.4167121557932161,0.5187902088096678,0.9938905185159541,0.037349397590361225,0.06536800366857184,0.9999030045740265,,,
communities_crime,N/A,0.0,baseline_original,42,,,,,,,,,,,,,0.1578998809853728,0.20594674450926798,0.40958889197672066,0.11040937499999998,0.14631333457685938,0.7020026007887192,,,
